UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jacob Edward,@JacobEdwardInc,2022-03-23T12:52:49.000Z,"Jacob Edward
@JacobEdwardInc
·
23 Mar","Realtors will tell you the housing market won’t dip. 

Taxi companies will tell you Uber is a terrible idea. 

Bankers will tell you #Bitcoin will make you poor. 

Pfizer/Moderna will tell you that your life depends on their vaccine. 

Think for yourself.
27
219
834",,27,219,834,[],https://twitter.com/JacobEdwardInc/status/1506614946485919761
Crypto Rover,@rovercrc,2022-03-23T20:28:49.000Z,"Crypto Rover
@rovercrc
·
24 Mar","I will give away $2,500 if #Bitcoin  doesn’t reach $50,000 before the end of the week!

Like & Follow to enter!
1,685
1,898
11.7K",,"1,685","1,898",11.7K,[],https://twitter.com/rovercrc/status/1506729703805235203
InstaSwap,@InstaSwap_io,2022-03-23T10:58:18.000Z,"InstaSwap
@InstaSwap_io
·
23 Mar","Our monthly #GiveAway is finally back!

You can win easily $100 in #btc till 1.4.2022, just by following the rules .

Rules :
Like.
Follow 
@InstaSwap_io
RT & tag 2 accounts for increasing your chances.

#bitcoin #crypto #cryptocurrency #cryptoinvestor #InstaSwap
907
773
751",😲 🎉 ⚡ 👉,907,773,751,['https://pbs.twimg.com/media/FOh4CbUWUAkPnI6?format=jpg&name=small'],https://twitter.com/InstaSwap_io/status/1506586128429850624
Bitcoin Archive,@BTC_Archive,2022-03-23T15:32:18.000Z,"Bitcoin Archive
@BTC_Archive
·
23 Mar","MicroStrategy bought ~$3.5b #Bitcoin in total since it's first purchase 19 months ago.

Now Terra announced plans to buy $10b #bitcoin 

It's only getting bigger from here.
21m Forever!
461
1,274
7,630",🗄 🚀 🌔,461,"1,274","7,630",[],https://twitter.com/BTC_Archive/status/1506655082972160003
Blockworks,@Blockworks_,2022-03-23T20:48:20.000Z,"Blockworks
@Blockworks_
·
24 Mar","Binance CEO 
@cz_binance
 has arrived in El Salvador to learn about the country's #Bitcoin projects
1,080
2,443
14.8K",,"1,080","2,443",14.8K,['https://pbs.twimg.com/ext_tw_video_thumb/1506731501685202944/pu/img/_lmU1SRHNhc1y5CM.jpg'],https://twitter.com/Blockworks_/status/1506734615641444352
Gaurav (Success TechZ),@gaurav15706,2022-03-23T23:59:16.000Z,"Gaurav (Success TechZ)
@gaurav15706
·
24 Mar","JUST IN: Bitcoin of America has added
#Dogecoin to their ATMs.
9
12
26",,9,12,26,[],https://twitter.com/gaurav15706/status/1506782662757089280
Bitcoin Price,@bbtc,2022-03-23T23:57:43.000Z,"Bitcoin Price
@bbtc
·
24 Mar
Automated","#Bitcoin Price: $43,000 
84
74
544",📈,84,74,544,['https://pbs.twimg.com/media/FOkqfg9XoAk327G?format=jpg&name=medium'],https://twitter.com/bbtc/status/1506782274536329217
Crypto Rover,@rovercrc,2022-03-23T20:17:46.000Z,"Crypto Rover
@rovercrc
·
24 Mar","MAJOR #BITCOIN INCOMING WITHIN 12 HOURS!!!
120
84
659",,120,84,659,['https://pbs.twimg.com/media/FOj4JFGXMAAqNKc?format=jpg&name=small'],https://twitter.com/rovercrc/status/1506726924084727817
Bitcoin Magazine,@BitcoinMagazine,2022-03-23T17:24:28.000Z,"Bitcoin Magazine
@BitcoinMagazine
·
23 Mar","OFFICIAL – Luna Foundation confirms 6,000 #bitcoin purchase worth $250 million to back its UST stablecoin
517
1,491
8,051",,517,"1,491","8,051",[],https://twitter.com/BitcoinMagazine/status/1506683309388095491
Crypto Rover,@rovercrc,2022-03-23T21:53:22.000Z,"Crypto Rover
@rovercrc
·
24 Mar","A major #Bitcoin move awaits...
135
56
446",,135,56,446,['https://pbs.twimg.com/media/FOkOB6CX0AA3Tfs?format=jpg&name=small'],https://twitter.com/rovercrc/status/1506750980758585348
JAYE CANE,@Jayecane,2022-03-23T16:12:35.000Z,"JAYE CANE
@Jayecane
·
23 Mar","rt + post your cashapp, PayPal, Bitcoin sending you money now
750
805
804",,750,805,804,[],https://twitter.com/Jayecane/status/1506665218977456137
Ivar,@Ivar_Lothbrohk,2022-03-23T23:36:37.000Z,"Ivar
@Ivar_Lothbrohk
·
24 Mar","https://sparklp.co/28cc1359
Earn Bitcoin free 
#BTC #freebtc #faucet #nft
1
4",☠ 💵 💵 💵,,1,4,['https://pbs.twimg.com/media/FOklqcPXEAE2Xke?format=jpg&name=medium'],https://twitter.com/Ivar_Lothbrohk/status/1506776963406602243
Dennis Porter,@Dennis_Porter_,2022-03-23T19:53:45.000Z,"Dennis Porter
@Dennis_Porter_
·
24 Mar","In 10 years all the largest companies in the USA will be ran by bitcoiners and all the most powerful political positions will be held by #Bitcoin hodlers.
118
147
1,322",,118,147,"1,322",[],https://twitter.com/Dennis_Porter_/status/1506720877458518021
Pete Sessions,@PeteSessions,2022-03-23T20:20:41.000Z,"Pete Sessions
@PeteSessions
·
24 Mar","We need to get out of the way of the innovators and let #bitcoin flourish.
361
598
4,503",,361,598,"4,503",[],https://twitter.com/PeteSessions/status/1506727654174736385
Crypto Rover,@rovercrc,2022-03-23T11:11:55.000Z,"Crypto Rover
@rovercrc
·
23 Mar","#Bitcoin Daily Breakout closing in!
89
35
246",,89,35,246,['https://pbs.twimg.com/media/FOh7MDsXoAkNhtN?format=jpg&name=small'],https://twitter.com/rovercrc/status/1506589556325462022
